nfa 1 image 8: malvar, RGGB, 95 => menon, RGGB
nfa 0.01 image 8: malvar, RGGB, 95 => menon, RGGB
nfa 1e-08 image 8: malvar, RGGB, 95 => menon, RGGB
nfa 1 image 8: malvar, RGGB, 90 => menon, RGGB
nfa 0.01 image 8: malvar, RGGB, 90 => menon, RGGB
nfa 1e-08 image 8: malvar, RGGB, 90 => menon, RGGB
nfa 1 image 8: malvar, BGGR, 95 => menon, BGGR
nfa 0.01 image 8: malvar, BGGR, 95 => menon, BGGR
nfa 1e-08 image 8: malvar, BGGR, 95 => menon, BGGR
nfa 1 image 8: malvar, BGGR, 90 => menon, BGGR
nfa 0.01 image 8: malvar, BGGR, 90 => menon, BGGR
nfa 1e-08 image 8: malvar, BGGR, 90 => menon, BGGR
nfa 1 image 8: malvar, GRBG, 95 => menon, GRBG
nfa 0.01 image 8: malvar, GRBG, 95 => menon, GRBG
nfa 1e-08 image 8: malvar, GRBG, 95 => menon, GRBG
nfa 1 image 8: malvar, GRBG, 90 => menon, GBRG
nfa 0.01 image 8: malvar, GRBG, 90 => menon, GBRG
nfa 1e-08 image 8: malvar, GRBG, 90 => menon, GBRG
nfa 1 image 8: malvar, GBRG, 95 => menon, GBRG
nfa 0.01 image 8: malvar, GBRG, 95 => menon, GBRG
nfa 1e-08 image 8: malvar, GBRG, 95 => menon, GBRG
nfa 1 image 8: malvar, GBRG, 90 => menon, GBRG
nfa 0.01 image 8: malvar, GBRG, 90 => menon, GBRG
nfa 1e-08 image 8: malvar, GBRG, 90 => menon, GBRG
nfa 1 image 8: menon, RGGB, 90 => menon, RGGB
nfa 1 image 8: menon, GBRG, 90 => menon, RGGB
nfa 1 image 9: None, None, None => bilinear, BGGR
nfa 0.01 image 9: None, None, None => bilinear, BGGR
nfa 1e-08 image 9: None, None, None => bilinear, BGGR
nfa 1 image 9: None, None, 95 => menon, BGGR
nfa 0.01 image 9: None, None, 95 => menon, BGGR
nfa 1e-08 image 9: None, None, 95 => menon, BGGR
nfa 1 image 9: None, None, 90 => menon, RGGB
nfa 0.01 image 9: None, None, 90 => menon, RGGB
nfa 1e-08 image 9: None, None, 90 => menon, RGGB
nfa 1 image 9: bilinear, RGGB, 95 => menon, RGGB
nfa 0.01 image 9: bilinear, RGGB, 95 => menon, RGGB
nfa 1e-08 image 9: bilinear, RGGB, 95 => menon, RGGB
nfa 1 image 9: bilinear, RGGB, 90 => menon, BGGR
nfa 0.01 image 9: bilinear, RGGB, 90 => menon, BGGR
nfa 1e-08 image 9: bilinear, RGGB, 90 => menon, BGGR
nfa 1 image 9: bilinear, BGGR, 95 => menon, RGGB
nfa 0.01 image 9: bilinear, BGGR, 95 => menon, RGGB
nfa 1e-08 image 9: bilinear, BGGR, 95 => menon, RGGB
nfa 1 image 9: bilinear, BGGR, 90 => menon, RGGB
nfa 0.01 image 9: bilinear, BGGR, 90 => menon, RGGB
nfa 1e-08 image 9: bilinear, BGGR, 90 => menon, RGGB
nfa 1 image 9: bilinear, GRBG, 95 => menon, GRBG
nfa 0.01 image 9: bilinear, GRBG, 95 => menon, GRBG
nfa 1e-08 image 9: bilinear, GRBG, 95 => menon, GRBG
nfa 1 image 9: bilinear, GRBG, 90 => menon, GBRG
nfa 0.01 image 9: bilinear, GRBG, 90 => menon, GBRG
nfa 1e-08 image 9: bilinear, GRBG, 90 => menon, GBRG
nfa 1 image 9: bilinear, GBRG, 95 => menon, GBRG
nfa 0.01 image 9: bilinear, GBRG, 95 => menon, GBRG
nfa 1e-08 image 9: bilinear, GBRG, 95 => menon, GBRG
nfa 1 image 9: bilinear, GBRG, 90 => menon, GRBG
nfa 0.01 image 9: bilinear, GBRG, 90 => menon, GRBG
nfa 1e-08 image 9: bilinear, GBRG, 90 => menon, GRBG
nfa 1 image 9: malvar, RGGB, 95 => menon, RGGB
nfa 0.01 image 9: malvar, RGGB, 95 => menon, RGGB
nfa 1e-08 image 9: malvar, RGGB, 95 => menon, RGGB
nfa 1 image 9: malvar, RGGB, 90 => menon, RGGB
nfa 0.01 image 9: malvar, RGGB, 90 => menon, RGGB
nfa 1e-08 image 9: malvar, RGGB, 90 => menon, RGGB
nfa 1 image 9: malvar, BGGR, 95 => menon, BGGR
nfa 0.01 image 9: malvar, BGGR, 95 => menon, BGGR
nfa 1e-08 image 9: malvar, BGGR, 95 => menon, BGGR
nfa 1 image 9: malvar, BGGR, 90 => menon, BGGR
nfa 0.01 image 9: malvar, BGGR, 90 => menon, BGGR
nfa 1e-08 image 9: malvar, BGGR, 90 => menon, BGGR
nfa 1 image 9: malvar, GRBG, 95 => menon, GRBG
nfa 0.01 image 9: malvar, GRBG, 95 => menon, GRBG
nfa 1e-08 image 9: malvar, GRBG, 95 => menon, GRBG
nfa 1 image 9: malvar, GRBG, 90 => menon, GRBG
nfa 0.01 image 9: malvar, GRBG, 90 => menon, GRBG
nfa 1e-08 image 9: malvar, GRBG, 90 => menon, GRBG
nfa 1 image 9: malvar, GBRG, 95 => menon, GBRG
nfa 0.01 image 9: malvar, GBRG, 95 => menon, GBRG
nfa 1e-08 image 9: malvar, GBRG, 95 => menon, GBRG
nfa 1 image 9: malvar, GBRG, 90 => menon, GBRG
nfa 0.01 image 9: malvar, GBRG, 90 => menon, GBRG
nfa 1e-08 image 9: malvar, GBRG, 90 => menon, GBRG
nfa 1 image 9: menon, RGGB, 90 => menon, RGGB
nfa 1 image 9: menon, BGGR, 95 => menon, BGGR
nfa 1 image 9: menon, GRBG, 90 => menon, RGGB
nfa 1 image 9: menon, GBRG, 90 => menon, GBRG
nfa 1 image 10: None, None, None => menon, GRBG
nfa 0.01 image 10: None, None, None => menon, GRBG
nfa 1e-08 image 10: None, None, None => menon, GRBG
nfa 1 image 10: None, None, 95 => menon, GRBG
nfa 0.01 image 10: None, None, 95 => menon, GRBG
nfa 1e-08 image 10: None, None, 95 => menon, GRBG
nfa 1 image 10: None, None, 90 => menon, RGGB
nfa 0.01 image 10: None, None, 90 => menon, RGGB
nfa 1e-08 image 10: None, None, 90 => menon, RGGB
nfa 1 image 10: bilinear, RGGB, 95 => malvar, RGGB
nfa 0.01 image 10: bilinear, RGGB, 95 => malvar, RGGB
nfa 1e-08 image 10: bilinear, RGGB, 95 => malvar, RGGB
nfa 1 image 10: bilinear, RGGB, 90 => menon, RGGB
nfa 0.01 image 10: bilinear, RGGB, 90 => menon, RGGB
nfa 1e-08 image 10: bilinear, RGGB, 90 => menon, RGGB
nfa 1 image 10: bilinear, BGGR, 95 => menon, BGGR
nfa 0.01 image 10: bilinear, BGGR, 95 => menon, BGGR
nfa 1e-08 image 10: bilinear, BGGR, 95 => menon, BGGR
nfa 1 image 10: bilinear, BGGR, 90 => menon, BGGR
nfa 0.01 image 10: bilinear, BGGR, 90 => menon, BGGR
nfa 1e-08 image 10: bilinear, BGGR, 90 => menon, BGGR
nfa 1 image 10: bilinear, GRBG, 95 => malvar, GRBG
nfa 0.01 image 10: bilinear, GRBG, 95 => malvar, GRBG
nfa 1e-08 image 10: bilinear, GRBG, 95 => malvar, GRBG
nfa 1 image 10: bilinear, GRBG, 90 => menon, GRBG
nfa 0.01 image 10: bilinear, GRBG, 90 => menon, GRBG
nfa 1e-08 image 10: bilinear, GRBG, 90 => menon, GRBG
nfa 1 image 10: bilinear, GBRG, 95 => malvar, GBRG
nfa 0.01 image 10: bilinear, GBRG, 95 => malvar, GBRG
nfa 1e-08 image 10: bilinear, GBRG, 95 => malvar, GBRG
nfa 1 image 10: bilinear, GBRG, 90 => menon, GBRG
nfa 0.01 image 10: bilinear, GBRG, 90 => menon, GBRG
nfa 1e-08 image 10: bilinear, GBRG, 90 => menon, GBRG
nfa 1 image 10: malvar, RGGB, 95 => menon, RGGB
nfa 0.01 image 10: malvar, RGGB, 95 => menon, RGGB
nfa 1e-08 image 10: malvar, RGGB, 95 => menon, RGGB
nfa 1 image 10: malvar, RGGB, 90 => menon, RGGB
nfa 0.01 image 10: malvar, RGGB, 90 => menon, RGGB
nfa 1e-08 image 10: malvar, RGGB, 90 => menon, RGGB
nfa 1 image 10: malvar, BGGR, 95 => menon, BGGR
nfa 0.01 image 10: malvar, BGGR, 95 => menon, BGGR
nfa 1e-08 image 10: malvar, BGGR, 95 => menon, BGGR
nfa 1 image 10: malvar, BGGR, 90 => menon, BGGR
nfa 0.01 image 10: malvar, BGGR, 90 => menon, BGGR
nfa 1e-08 image 10: malvar, BGGR, 90 => menon, BGGR
nfa 1 image 10: malvar, GRBG, 95 => menon, GRBG
nfa 0.01 image 10: malvar, GRBG, 95 => menon, GRBG
nfa 1e-08 image 10: malvar, GRBG, 95 => menon, GRBG
nfa 1 image 10: malvar, GRBG, 90 => menon, GRBG
nfa 0.01 image 10: malvar, GRBG, 90 => menon, GRBG
nfa 1e-08 image 10: malvar, GRBG, 90 => menon, GRBG
nfa 1 image 10: malvar, GBRG, 95 => menon, GBRG
nfa 0.01 image 10: malvar, GBRG, 95 => menon, GBRG
nfa 1e-08 image 10: malvar, GBRG, 95 => menon, GBRG
nfa 1 image 10: malvar, GBRG, 90 => menon, GBRG
nfa 0.01 image 10: malvar, GBRG, 90 => menon, GBRG
nfa 1e-08 image 10: malvar, GBRG, 90 => menon, GBRG
nfa 1 image 11: None, None, None => bilinear, RGGB
nfa 0.01 image 11: None, None, None => bilinear, RGGB
nfa 1e-08 image 11: None, None, None => bilinear, RGGB
nfa 1 image 11: None, None, 95 => menon, RGGB
nfa 0.01 image 11: None, None, 95 => menon, RGGB
nfa 1e-08 image 11: None, None, 95 => menon, RGGB
nfa 1 image 11: None, None, 90 => menon, RGGB
nfa 0.01 image 11: None, None, 90 => menon, RGGB
nfa 1e-08 image 11: None, None, 90 => menon, RGGB
nfa 1 image 11: bilinear, RGGB, 95 => menon, RGGB
nfa 0.01 image 11: bilinear, RGGB, 95 => menon, RGGB
nfa 1e-08 image 11: bilinear, RGGB, 95 => menon, RGGB
nfa 1 image 11: bilinear, RGGB, 90 => menon, RGGB
nfa 0.01 image 11: bilinear, RGGB, 90 => menon, RGGB
nfa 1e-08 image 11: bilinear, RGGB, 90 => menon, RGGB
nfa 1 image 11: bilinear, BGGR, 95 => menon, BGGR
nfa 0.01 image 11: bilinear, BGGR, 95 => menon, BGGR
nfa 1e-08 image 11: bilinear, BGGR, 95 => menon, BGGR
nfa 1 image 11: bilinear, BGGR, 90 => menon, RGGB
nfa 0.01 image 11: bilinear, BGGR, 90 => menon, RGGB
nfa 1e-08 image 11: bilinear, BGGR, 90 => menon, RGGB
nfa 1 image 11: bilinear, GRBG, 95 => menon, GRBG
nfa 0.01 image 11: bilinear, GRBG, 95 => menon, GRBG
nfa 1e-08 image 11: bilinear, GRBG, 95 => menon, GRBG
nfa 1 image 11: bilinear, GRBG, 90 => menon, GRBG
nfa 0.01 image 11: bilinear, GRBG, 90 => menon, GRBG
nfa 1e-08 image 11: bilinear, GRBG, 90 => menon, GRBG
nfa 1 image 11: bilinear, GBRG, 95 => menon, GBRG
nfa 0.01 image 11: bilinear, GBRG, 95 => menon, GBRG
nfa 1e-08 image 11: bilinear, GBRG, 95 => menon, GBRG
nfa 1 image 11: bilinear, GBRG, 90 => menon, GBRG
nfa 0.01 image 11: bilinear, GBRG, 90 => menon, GBRG
nfa 1e-08 image 11: bilinear, GBRG, 90 => menon, GBRG
nfa 1 image 11: malvar, RGGB, 95 => menon, RGGB
nfa 0.01 image 11: malvar, RGGB, 95 => menon, RGGB
nfa 1e-08 image 11: malvar, RGGB, 95 => menon, RGGB
nfa 1 image 11: malvar, RGGB, 90 => menon, RGGB
nfa 0.01 image 11: malvar, RGGB, 90 => menon, RGGB
nfa 1e-08 image 11: malvar, RGGB, 90 => menon, RGGB
nfa 1 image 11: malvar, BGGR, 95 => menon, BGGR
nfa 0.01 image 11: malvar, BGGR, 95 => menon, BGGR
nfa 1e-08 image 11: malvar, BGGR, 95 => menon, BGGR
nfa 1 image 11: malvar, BGGR, 90 => menon, BGGR
nfa 0.01 image 11: malvar, BGGR, 90 => menon, BGGR
nfa 1e-08 image 11: malvar, BGGR, 90 => menon, BGGR
nfa 1 image 11: malvar, GRBG, 95 => menon, GRBG
nfa 0.01 image 11: malvar, GRBG, 95 => menon, GRBG
nfa 1e-08 image 11: malvar, GRBG, 95 => menon, GRBG
nfa 1 image 11: malvar, GRBG, 90 => menon, GRBG
nfa 0.01 image 11: malvar, GRBG, 90 => menon, GRBG
nfa 1e-08 image 11: malvar, GRBG, 90 => menon, GRBG
nfa 1 image 11: malvar, GBRG, 95 => menon, GBRG
nfa 0.01 image 11: malvar, GBRG, 95 => menon, GBRG
nfa 1e-08 image 11: malvar, GBRG, 95 => menon, GBRG
nfa 1 image 11: malvar, GBRG, 90 => menon, GBRG
nfa 0.01 image 11: malvar, GBRG, 90 => menon, GBRG
nfa 1e-08 image 11: malvar, GBRG, 90 => menon, GBRG
nfa 1 image 12: None, None, None => menon, RGGB
nfa 0.01 image 12: None, None, None => menon, RGGB
nfa 1e-08 image 12: None, None, None => menon, RGGB
nfa 1 image 12: None, None, 95 => menon, RGGB
nfa 0.01 image 12: None, None, 95 => menon, RGGB
nfa 1e-08 image 12: None, None, 95 => menon, RGGB
nfa 1 image 12: None, None, 90 => menon, RGGB
nfa 0.01 image 12: None, None, 90 => menon, RGGB
nfa 1e-08 image 12: None, None, 90 => menon, RGGB
nfa 1 image 12: bilinear, RGGB, 95 => malvar, RGGB
nfa 0.01 image 12: bilinear, RGGB, 95 => malvar, RGGB
nfa 1e-08 image 12: bilinear, RGGB, 95 => malvar, RGGB
nfa 1 image 12: bilinear, RGGB, 90 => menon, RGGB
nfa 0.01 image 12: bilinear, RGGB, 90 => menon, RGGB
nfa 1e-08 image 12: bilinear, RGGB, 90 => menon, RGGB
nfa 1 image 12: bilinear, BGGR, 95 => malvar, BGGR
nfa 0.01 image 12: bilinear, BGGR, 95 => malvar, BGGR
nfa 1e-08 image 12: bilinear, BGGR, 95 => malvar, BGGR
nfa 1 image 12: bilinear, BGGR, 90 => menon, BGGR
nfa 0.01 image 12: bilinear, BGGR, 90 => menon, BGGR
nfa 1e-08 image 12: bilinear, BGGR, 90 => menon, BGGR
nfa 1 image 12: bilinear, GRBG, 95 => malvar, GRBG
nfa 0.01 image 12: bilinear, GRBG, 95 => malvar, GRBG
nfa 1e-08 image 12: bilinear, GRBG, 95 => malvar, GRBG
nfa 1 image 12: bilinear, GRBG, 90 => menon, GRBG
nfa 0.01 image 12: bilinear, GRBG, 90 => menon, GRBG
nfa 1e-08 image 12: bilinear, GRBG, 90 => menon, GRBG
nfa 1 image 12: bilinear, GBRG, 95 => malvar, GBRG
nfa 0.01 image 12: bilinear, GBRG, 95 => malvar, GBRG
nfa 1e-08 image 12: bilinear, GBRG, 95 => malvar, GBRG
nfa 1 image 12: bilinear, GBRG, 90 => menon, GBRG
nfa 0.01 image 12: bilinear, GBRG, 90 => menon, GBRG
nfa 1e-08 image 12: bilinear, GBRG, 90 => menon, GBRG
nfa 1 image 12: malvar, RGGB, 90 => menon, RGGB
nfa 0.01 image 12: malvar, RGGB, 90 => menon, RGGB
nfa 1e-08 image 12: malvar, RGGB, 90 => menon, RGGB
nfa 1 image 12: malvar, BGGR, 95 => menon, BGGR
nfa 0.01 image 12: malvar, BGGR, 95 => menon, BGGR
nfa 1e-08 image 12: malvar, BGGR, 95 => menon, BGGR
nfa 1 image 12: malvar, BGGR, 90 => menon, BGGR
nfa 0.01 image 12: malvar, BGGR, 90 => menon, BGGR
nfa 1e-08 image 12: malvar, BGGR, 90 => menon, BGGR
nfa 1 image 12: malvar, GRBG, 95 => menon, GRBG
nfa 0.01 image 12: malvar, GRBG, 95 => menon, GRBG
nfa 1e-08 image 12: malvar, GRBG, 95 => menon, GRBG
nfa 1 image 12: malvar, GRBG, 90 => menon, GRBG
nfa 0.01 image 12: malvar, GRBG, 90 => menon, GRBG
nfa 1e-08 image 12: malvar, GRBG, 90 => menon, GRBG
nfa 1 image 12: malvar, GBRG, 95 => menon, GBRG
nfa 0.01 image 12: malvar, GBRG, 95 => menon, GBRG
nfa 1e-08 image 12: malvar, GBRG, 95 => menon, GBRG
nfa 1 image 12: malvar, GBRG, 90 => menon, GBRG
nfa 0.01 image 12: malvar, GBRG, 90 => menon, GBRG
nfa 1e-08 image 12: malvar, GBRG, 90 => menon, GBRG
nfa 1 image 13: None, None, None => menon, RGGB
nfa 0.01 image 13: None, None, None => menon, RGGB
nfa 1e-08 image 13: None, None, None => menon, RGGB
nfa 1 image 13: None, None, 95 => menon, GBRG
nfa 0.01 image 13: None, None, 95 => menon, GBRG
nfa 1e-08 image 13: None, None, 95 => menon, GBRG
nfa 1 image 13: None, None, 90 => menon, GBRG
nfa 0.01 image 13: None, None, 90 => menon, GBRG
nfa 1e-08 image 13: None, None, 90 => menon, GBRG
nfa 1 image 13: bilinear, RGGB, 95 => malvar, RGGB
nfa 0.01 image 13: bilinear, RGGB, 95 => malvar, RGGB
nfa 1e-08 image 13: bilinear, RGGB, 95 => malvar, RGGB
nfa 1 image 13: bilinear, RGGB, 90 => menon, RGGB
nfa 0.01 image 13: bilinear, RGGB, 90 => menon, RGGB
nfa 1e-08 image 13: bilinear, RGGB, 90 => menon, RGGB
nfa 1 image 13: bilinear, BGGR, 95 => malvar, BGGR
nfa 0.01 image 13: bilinear, BGGR, 95 => malvar, BGGR
nfa 1e-08 image 13: bilinear, BGGR, 95 => malvar, BGGR
nfa 1 image 13: bilinear, BGGR, 90 => menon, BGGR
nfa 0.01 image 13: bilinear, BGGR, 90 => menon, BGGR
nfa 1e-08 image 13: bilinear, BGGR, 90 => menon, BGGR
nfa 1 image 13: bilinear, GRBG, 95 => menon, GRBG
nfa 0.01 image 13: bilinear, GRBG, 95 => menon, GRBG
nfa 1e-08 image 13: bilinear, GRBG, 95 => menon, GRBG
nfa 1 image 13: bilinear, GRBG, 90 => menon, GRBG
nfa 0.01 image 13: bilinear, GRBG, 90 => menon, GRBG
nfa 1e-08 image 13: bilinear, GRBG, 90 => menon, GRBG
nfa 1 image 13: bilinear, GBRG, 95 => malvar, GBRG
nfa 0.01 image 13: bilinear, GBRG, 95 => malvar, GBRG
nfa 1e-08 image 13: bilinear, GBRG, 95 => malvar, GBRG
nfa 1 image 13: bilinear, GBRG, 90 => menon, GBRG
nfa 0.01 image 13: bilinear, GBRG, 90 => menon, GBRG
nfa 1e-08 image 13: bilinear, GBRG, 90 => menon, GBRG
nfa 1 image 13: malvar, RGGB, 95 => menon, RGGB
nfa 0.01 image 13: malvar, RGGB, 95 => menon, RGGB
nfa 1e-08 image 13: malvar, RGGB, 95 => menon, RGGB
nfa 1 image 13: malvar, RGGB, 90 => menon, RGGB
nfa 0.01 image 13: malvar, RGGB, 90 => menon, RGGB
nfa 1e-08 image 13: malvar, RGGB, 90 => menon, RGGB
nfa 1 image 13: malvar, BGGR, 95 => menon, BGGR
nfa 0.01 image 13: malvar, BGGR, 95 => menon, BGGR
nfa 1e-08 image 13: malvar, BGGR, 95 => menon, BGGR
nfa 1 image 13: malvar, BGGR, 90 => menon, BGGR
nfa 0.01 image 13: malvar, BGGR, 90 => menon, BGGR
nfa 1e-08 image 13: malvar, BGGR, 90 => menon, BGGR
nfa 1 image 13: malvar, GRBG, 95 => menon, GRBG
nfa 0.01 image 13: malvar, GRBG, 95 => menon, GRBG
nfa 1e-08 image 13: malvar, GRBG, 95 => menon, GRBG
nfa 1 image 13: malvar, GRBG, 90 => menon, GRBG
nfa 0.01 image 13: malvar, GRBG, 90 => menon, GRBG
nfa 1e-08 image 13: malvar, GRBG, 90 => menon, GRBG
nfa 1 image 13: malvar, GBRG, 95 => menon, GBRG
nfa 0.01 image 13: malvar, GBRG, 95 => menon, GBRG
nfa 1e-08 image 13: malvar, GBRG, 95 => menon, GBRG
nfa 1 image 13: malvar, GBRG, 90 => menon, GBRG
nfa 0.01 image 13: malvar, GBRG, 90 => menon, GBRG
nfa 1e-08 image 13: malvar, GBRG, 90 => menon, GBRG
nfa 1 image 14: None, None, None => menon, GRBG
nfa 0.01 image 14: None, None, None => menon, GRBG
nfa 1e-08 image 14: None, None, None => menon, GRBG
nfa 1 image 14: None, None, 95 => menon, GBRG
nfa 0.01 image 14: None, None, 95 => menon, GBRG
nfa 1e-08 image 14: None, None, 95 => menon, GBRG
nfa 1 image 14: None, None, 90 => menon, BGGR
nfa 0.01 image 14: None, None, 90 => menon, BGGR
nfa 1e-08 image 14: None, None, 90 => menon, BGGR
nfa 1 image 14: bilinear, RGGB, 95 => malvar, RGGB
nfa 0.01 image 14: bilinear, RGGB, 95 => malvar, RGGB
nfa 1e-08 image 14: bilinear, RGGB, 95 => malvar, RGGB
nfa 1 image 14: bilinear, RGGB, 90 => malvar, RGGB
nfa 0.01 image 14: bilinear, RGGB, 90 => malvar, RGGB
nfa 1e-08 image 14: bilinear, RGGB, 90 => malvar, RGGB
nfa 1 image 14: bilinear, BGGR, 95 => malvar, BGGR
nfa 0.01 image 14: bilinear, BGGR, 95 => malvar, BGGR
nfa 1e-08 image 14: bilinear, BGGR, 95 => malvar, BGGR
nfa 1 image 14: bilinear, BGGR, 90 => malvar, BGGR
nfa 0.01 image 14: bilinear, BGGR, 90 => malvar, BGGR
nfa 1e-08 image 14: bilinear, BGGR, 90 => malvar, BGGR
nfa 1 image 14: bilinear, GRBG, 95 => malvar, GRBG
nfa 0.01 image 14: bilinear, GRBG, 95 => malvar, GRBG
nfa 1e-08 image 14: bilinear, GRBG, 95 => malvar, GRBG
nfa 1 image 14: bilinear, GRBG, 90 => malvar, GRBG
nfa 0.01 image 14: bilinear, GRBG, 90 => malvar, GRBG
nfa 1e-08 image 14: bilinear, GRBG, 90 => malvar, GRBG
nfa 1 image 14: bilinear, GBRG, 95 => malvar, GBRG
nfa 0.01 image 14: bilinear, GBRG, 95 => malvar, GBRG
nfa 1e-08 image 14: bilinear, GBRG, 95 => malvar, GBRG
nfa 1 image 14: bilinear, GBRG, 90 => malvar, GBRG
nfa 0.01 image 14: bilinear, GBRG, 90 => malvar, GBRG
nfa 1e-08 image 14: bilinear, GBRG, 90 => malvar, GBRG
nfa 1 image 14: malvar, RGGB, 90 => menon, RGGB
nfa 0.01 image 14: malvar, RGGB, 90 => menon, RGGB
nfa 1e-08 image 14: malvar, RGGB, 90 => menon, RGGB
nfa 1 image 14: malvar, BGGR, 90 => menon, BGGR
nfa 0.01 image 14: malvar, BGGR, 90 => menon, BGGR
nfa 1e-08 image 14: malvar, BGGR, 90 => menon, BGGR
nfa 1 image 14: malvar, GRBG, 90 => menon, GRBG
nfa 0.01 image 14: malvar, GRBG, 90 => menon, GRBG
nfa 1e-08 image 14: malvar, GRBG, 90 => menon, GRBG
nfa 1 image 14: malvar, GBRG, 90 => menon, GBRG
nfa 0.01 image 14: malvar, GBRG, 90 => menon, GBRG
nfa 1e-08 image 14: malvar, GBRG, 90 => menon, GBRG
nfa 1 image 15: None, None, None => menon, RGGB
nfa 0.01 image 15: None, None, None => menon, RGGB
nfa 1e-08 image 15: None, None, None => menon, RGGB
nfa 1 image 15: None, None, 95 => menon, RGGB
nfa 0.01 image 15: None, None, 95 => menon, RGGB
nfa 1e-08 image 15: None, None, 95 => menon, RGGB
nfa 1 image 15: None, None, 90 => menon, GBRG
nfa 0.01 image 15: None, None, 90 => menon, GBRG
nfa 1e-08 image 15: None, None, 90 => menon, GBRG
nfa 1 image 15: bilinear, RGGB, 95 => malvar, RGGB
nfa 0.01 image 15: bilinear, RGGB, 95 => malvar, RGGB
nfa 1e-08 image 15: bilinear, RGGB, 95 => malvar, RGGB
nfa 1 image 15: bilinear, RGGB, 90 => menon, RGGB
nfa 0.01 image 15: bilinear, RGGB, 90 => menon, RGGB
nfa 1e-08 image 15: bilinear, RGGB, 90 => menon, RGGB
nfa 1 image 15: bilinear, BGGR, 95 => malvar, BGGR
nfa 0.01 image 15: bilinear, BGGR, 95 => malvar, BGGR
nfa 1e-08 image 15: bilinear, BGGR, 95 => malvar, BGGR
nfa 1 image 15: bilinear, BGGR, 90 => menon, BGGR
nfa 0.01 image 15: bilinear, BGGR, 90 => menon, BGGR
nfa 1e-08 image 15: bilinear, BGGR, 90 => menon, BGGR
nfa 1 image 15: bilinear, GRBG, 95 => malvar, GRBG
nfa 0.01 image 15: bilinear, GRBG, 95 => malvar, GRBG
nfa 1e-08 image 15: bilinear, GRBG, 95 => malvar, GRBG
nfa 1 image 15: bilinear, GRBG, 90 => menon, GRBG
nfa 0.01 image 15: bilinear, GRBG, 90 => menon, GRBG
nfa 1e-08 image 15: bilinear, GRBG, 90 => menon, GRBG
nfa 1 image 15: bilinear, GBRG, 95 => malvar, GBRG
nfa 0.01 image 15: bilinear, GBRG, 95 => malvar, GBRG
nfa 1e-08 image 15: bilinear, GBRG, 95 => malvar, GBRG
nfa 1 image 15: bilinear, GBRG, 90 => menon, GBRG
nfa 0.01 image 15: bilinear, GBRG, 90 => menon, GBRG
nfa 1e-08 image 15: bilinear, GBRG, 90 => menon, GBRG
nfa 1 image 15: malvar, RGGB, 95 => menon, RGGB
nfa 0.01 image 15: malvar, RGGB, 95 => menon, RGGB
nfa 1e-08 image 15: malvar, RGGB, 95 => menon, RGGB
nfa 1 image 15: malvar, RGGB, 90 => menon, RGGB
nfa 0.01 image 15: malvar, RGGB, 90 => menon, RGGB
nfa 1e-08 image 15: malvar, RGGB, 90 => menon, RGGB
nfa 1 image 15: malvar, BGGR, 95 => menon, BGGR
nfa 0.01 image 15: malvar, BGGR, 95 => menon, BGGR
nfa 1e-08 image 15: malvar, BGGR, 95 => menon, BGGR
nfa 1 image 15: malvar, BGGR, 90 => menon, BGGR
nfa 0.01 image 15: malvar, BGGR, 90 => menon, BGGR
nfa 1e-08 image 15: malvar, BGGR, 90 => menon, BGGR
nfa 1 image 15: malvar, GRBG, 95 => menon, GRBG
nfa 0.01 image 15: malvar, GRBG, 95 => menon, GRBG
nfa 1e-08 image 15: malvar, GRBG, 95 => menon, GRBG
nfa 1 image 15: malvar, GRBG, 90 => menon, GRBG
nfa 0.01 image 15: malvar, GRBG, 90 => menon, GRBG
nfa 1e-08 image 15: malvar, GRBG, 90 => menon, GRBG
nfa 1 image 15: malvar, GBRG, 95 => menon, GBRG
nfa 0.01 image 15: malvar, GBRG, 95 => menon, GBRG
nfa 1e-08 image 15: malvar, GBRG, 95 => menon, GBRG
nfa 1 image 15: malvar, GBRG, 90 => menon, GBRG
nfa 0.01 image 15: malvar, GBRG, 90 => menon, GBRG
nfa 1e-08 image 15: malvar, GBRG, 90 => menon, GBRG
